id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
15571746	How? The first memristor was created	How? The first memristor was created in 2008.	mitchty	2.9752638	1.47953	comment	4.0	11.0	1509134567	15.582112
20576791	First Programmable Memristor Compute	First Programmable Memristor Computer	headalgorithm	2.9760475	1.4788365	story	4.0	95.0	1564596778	15.586706
14566739	"So do memristors exist or not? 
Wiki"	"So do memristors exist or not? 
Wiki claims they are still 'hypothetical'."	kovrik	2.9759924	1.4792267	comment	4.0	13.5	1497588511	15.5858555
17263878	Design of CMOS-memristor Circuits fo	Design of CMOS-memristor Circuits for LSTM architecture	godelmachine	2.977622	1.4780184	story	5.0	58.0	1528450618	15.584709
17808150	Pragmatic engineer's version: digike	"Pragmatic engineer's version: digikey shows 0 search results for ""memristor"".(funny enough, doing the same at aliexpress yields a young kid's plastic ball ad, containing ""Warning:Memristor"")"	bacon_waffle	2.9751394	1.4793111	comment	5.0	14.5	1534842706	15.585489
33482872	(RIP memristors. Those have similarl	(RIP memristors. Those have similarly been on the cusp of revolutionizing everything for … I think over a decade now?)	sillysaurusx	2.9767165	1.4798973	comment	5.0	17.0	1667665033	15.581638
14916404	Ask HN: Thoughts on memristors?	Ask HN: Thoughts on memristors?	deepnotderp	2.976867	1.4782798	story	5.0	11.0	1501726003	15.584734
15570857	> I've never understood why people d	> I've never understood why people don't get more excited about memristors.personally, mostly because i've been seeing articles about how they're just about to totally upend computing for the last ten years	nyolfen	2.9752655	1.4798144	comment	5.0	23.5	1509127961	15.586051
18474682	Memristors built with 2-nanometer-th	Memristors built with 2-nanometer-thick parts	ToFab123	2.9760845	1.4788345	story	5.0	81.0	1542445220	15.585624
18477549	Are memristors real? This paper[0] i	"Are memristors real? This paper[0] in addition to a handful that have appeared on HN in the last few months asserts that ""the 2008 memristor is not the 1971 postulate and neither of them is fundamental"" and moreover that ""[t]he ideal memristor is an unphysical"	heydenberk	2.9777932	1.477869	comment	5.0	13.5	1542491282	15.585131
24658991	We've left biomimicry in the dust a 	We've left biomimicry in the dust a fair time ago - neurons do not work like relus after all (nor do they work like memristors), but relus are great at solving problems. None of our current NN applications would even want something that behaves like a neuron. 	freeone3000	2.990052	1.4679892	comment	5.0	13.0	1601614262	15.579773
17662864	A general memristor-based partial di	A general memristor-based partial differential equation solver	godelmachine	2.9755085	1.4787552	story	6.0	47.0	1533134384	15.586203
20578985	> Arrays of memristors can do these 	> Arrays of memristors can do these tasks efficiently because they become analog computations instead of digital.What does this even mean in a computer? How can you do a non-digital computation?	justinmchase	2.97387	1.4801173	comment	6.0	17.0	1564610387	15.58595
18653351	Memristors for Curious Outsiders	Memristors for Curious Outsiders	lainon	2.9766228	1.4788669	story	7.0	67.0	1544503621	15.585325
14562399	Memristor – The missing circuit elem	Memristor – The missing circuit element (1971) [pdf]	dayve	2.9773386	1.4785945	story	7.0	84.0	1497547574	15.585158
25933723	If memristors act like neurons, put 	If memristors act like neurons, put them in neural networks	hypomnemata	2.9784756	1.476623	story	8.0	83.0	1611780486	15.583522
16895270	I've just started a PhD on neuromorp	I've just started a PhD on neuromorphic memristive Systems at EPFL, so if someone wants to ask questions/chat about this I will do my best to serve. Here or via the contact info in my profile:)	igorkraw	2.9759164	1.4787546	comment	9.0	30.5	1524385709	15.583936
25640658	An experimental open source memristo	An experimental open source memristor / programmable “diode”	psawaya	2.9761791	1.478929	story	12.0	257.0	1609809073	15.585833
19649291	The case for rejecting the memristor	The case for rejecting the memristor as a fundamental circuit element (2018)	g0xA52A2A	2.9761226	1.4790936	story	12.0	191.0	1555105315	15.585125
17807926	Memristor – The fictional circuit el	Memristor – The fictional circuit element	godelmachine	2.9766695	1.4787009	story	12.0	193.0	1534839128	15.5852785
15570418	This is the promise of memristors.  	This is the promise of memristors.  Despite innumerable articles being written about neuromorphic architectures like they'll be something miraculous, this ability to change from functioning as a bit of memory to being a bunch of functional logic on the fly at 	otakucode	2.977446	1.4773804	comment	15.0	81.5	1509125065	15.581127
24656496	Memristor Breakthrough: First Single	Memristor Breakthrough: First Single Device to Act Like a Neuron	headalgorithm	2.9787998	1.4769993	story	19.0	260.0	1601588982	15.583043
